training obj, robust, decision-focused, 0.5028156245748202,0.5682894804825386,0.541243078559637,0.536380909010768,0.536377294237415,0.5363812927156687,0.5363812123735746
testing obj, non-robust, two-stage, 0.5599999964237213,0.5712024390697479,0.5599999964237213,0.5599999964237213,0.5599999964237213,0.5599999964237213,0.5599999964237213
testing obj, non-robust, decision-focused, 0.5599999964237213,0.5725456893444061,0.5599999964237213,0.5599999964237213,0.5599999964237213,0.5599999964237213,0.5599999964237213
testing obj, robust, two-stage, 0.49033560156822203,0.5599217871824901,0.4903403257330259,0.49033777018388114,0.49033705741167066,0.4903366953134537,0.4903364792466164
testing obj, robust, decision-focused, 0.49033560156822203,0.5599274858832359,0.5218275298674901,0.5218185777465503,0.5218271185954412,0.5218113978703817,0.5218321338295937
training obj, non-robust, two-stage, 0.5649999961256981,0.5771359756588936,0.5655121549963951,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981
training obj, non-robust, decision-focused, 0.5649999961256981,0.5804802149534225,0.565780712167422,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981,0.5649999961256981
training obj, robust, two-stage, 0.49782361537218095,0.5649443050225575,0.5647477080424627,0.5317046380291383,0.5075302428255478,0.49999213963747025,0.4978512207667033,0.497832078486681,0.49783037131031355,0.49782916009426115,0.4978283165643613,0.4978276564429204
training obj, robust, decision-focused, 0.49782361537218095,0.5649441388746103,0.5646997784574826,0.5347593878706296,0.5343209194640318,0.5342790914078553,0.5342563329885404,0.5251168383906285,0.49795581301053365,0.49790577615300813,0.49784286270538963,0.4978506240993738
testing obj, non-robust, two-stage, 0.573333328962326,0.5870252033074697,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326
testing obj, non-robust, decision-focused, 0.573333328962326,0.5907981912295024,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326,0.573333328962326
testing obj, robust, two-stage, 0.5103036383787791,0.5733060518900553,0.5712044854958852,0.526538199186325,0.5154325872659683,0.5106590807437896,0.5103130330642064,0.5103109687566757,0.5103095988432567,0.5103086392084758,0.5103079130252203,0.5103073447942734
testing obj, robust, decision-focused, 0.5103036383787791,0.5733035872379939,0.5567876676718394,0.5303729961315791,0.5303220848242441,0.5302893459796906,0.5302708933750788,0.510490487019221,0.5104770749807358,0.5103209952513377,0.5104659716288249,0.5103157748778661
training obj, non-robust, two-stage, 0.561666662991047,0.5731719225645066,0.5617378739019235,0.561666662991047,0.561666662991047,0.561666662991047,0.561666662991047
training obj, non-robust, decision-focused, 0.561666662991047,0.5745523015658061,0.5617590300738812,0.561666662991047,0.561666662991047,0.561666662991047,0.561666662991047
training obj, robust, two-stage, 0.4926659166812897,0.5616306667526563,0.502900451918443,0.49266746242841086,0.49266680056850115,0.4926665445168813,0.49266640432178976
training obj, robust, decision-focused, 0.4926659166812897,0.561633171637853,0.511579633752505,0.4927754311511914,0.49307481025656064,0.49292911825080715,0.49312065578997133
testing obj, non-robust, two-stage, 0.5866666615009308,0.6028362154960633,0.5866666615009308,0.5866666615009308,0.5866666615009308,0.5866666615009308,0.5866666615009308
testing obj, non-robust, decision-focused, 0.5866666615009308,0.6047762076059977,0.5866666615009308,0.5866666615009308,0.5866666615009308,0.5866666615009308,0.5866666615009308
testing obj, robust, two-stage, 0.5301359295845032,0.5866755425930024,0.530137832959493,0.530136805276076,0.5301365127166112,0.5301363627115886,0.5301362802584966
testing obj, robust, decision-focused, 0.5301359295845032,0.5866766492525737,0.5302730237444242,0.5301473865906398,0.5301460817456245,0.5301471437017123,0.5349629725019137
